StockCode,DataDate,UpdateTime,LastPrice,Volume,turnover,BidPrice1,BidVolume1,BidPrice2,BidVolume2,BidPrice3,BidVolume3,BidPrice4,BidVolume4,BidPrice5,BidVolume5,BidPrice6,BidVolume6,BidPrice7,BidVolume7,BidPrice8,BidVolume8,BidPrice9,BidVolume9,BidPrice10,BidVolume10,AskPrice1,AskVolume1,AskPrice2,AskVolume2,AskPrice3,AskVolume3,AskPrice4,AskVolume4,AskPrice5,AskVolume5,AskPrice6,AskVolume6,AskPrice7,AskVolume7,AskPrice8,AskVolume8,AskPrice9,AskVolume9,AskPrice10,AskVolume10
000066.SZ,2020-08-03,09:30:39,187000.0,0.0,0.0,186700.0,0.28,186600.0,0.7,186500.0,1.0,186400.0,1.0,186300.0,0.96,186200.0,0.74,186100.0,0.83,186000.0,1.0,185900.0,1.0,185800.0,0.16,187000.0,0.5,187100.0,0.04,187200.0,0.46,187300.0,0.3,187400.0,0.63,187500.0,0.13,187600.0,0.04,187700.0,0.03,187800.0,1.0,187900.0,1.0
000066.SZ,2020-08-03,09:30:40,187000.0,0.0,0.0,186700.0,0.28,186600.0,0.7,186500.0,1.0,186400.0,1.0,186300.0,0.96,186200.0,0.74,186100.0,0.83,186000.0,1.0,185900.0,1.0,185800.0,0.16,187000.0,0.5,187100.0,0.04,187200.0,0.46,187300.0,0.3,187400.0,0.63,187500.0,0.13,187600.0,0.04,187700.0,0.03,187800.0,1.0,187900.0,1.0
000066.SZ,2020-08-03,09:30:41,187000.0,0.0,0.0,186700.0,0.28,186600.0,0.7,186500.0,1.0,186400.0,1.0,186300.0,0.96,186200.0,0.74,186100.0,0.83,186000.0,1.0,185900.0,1.0,185800.0,0.16,187000.0,0.5,187100.0,0.04,187200.0,0.46,187300.0,0.3,187400.0,0.63,187500.0,0.13,187600.0,0.04,187700.0,0.03,187800.0,1.0,187900.0,1.0
000066.SZ,2020-08-03,09:30:42,187000.0,0.0,0.0,186700.0,0.28,186600.0,0.7,186500.0,1.0,186400.0,1.0,186300.0,0.96,186200.0,0.74,186100.0,0.83,186000.0,1.0,185900.0,1.0,185800.0,0.16,187000.0,0.5,187100.0,0.04,187200.0,0.46,187300.0,0.3,187400.0,0.63,187500.0,0.13,187600.0,0.04,187700.0,0.03,187800.0,1.0,187900.0,1.0
000066.SZ,2020-08-03,09:30:43,187000.0,25500.0,4730326500.0,185500.0,1.0,185400.0,0.74,185300.0,0.11,185200.0,0.07,185100.0,0.25,185000.0,1.0,184900.0,0.12,184800.0,0.09,184700.0,0.0,184600.0,0.02,185700.0,0.04,186000.0,0.08,186200.0,0.09,186300.0,0.14,187000.0,0.5,187100.0,0.04,187200.0,0.46,187300.0,0.3,187400.0,0.63,187500.0,0.13
000066.SZ,2020-08-03,09:30:44,185500.0,1900.0,352529800.0,185500.0,1.0,185400.0,0.74,185300.0,0.11,185200.0,0.07,185100.0,0.25,185000.0,1.0,184900.0,0.12,184800.0,0.09,184700.0,0.0,184600.0,0.02,185700.0,0.03,185800.0,0.0,186000.0,0.17,186200.0,0.09,186300.0,0.14,186400.0,0.0,187000.0,0.5,187100.0,0.04,187200.0,0.46,187300.0,0.3
000066.SZ,2020-08-03,09:30:45,185500.0,42600.0,7903365000.0,186000.0,0.48,185800.0,0.01,185500.0,1.0,185400.0,0.74,185300.0,0.11,185200.0,0.07,185100.0,0.25,185000.0,1.0,184900.0,0.12,184800.0,0.09,186200.0,0.09,186300.0,0.26,186400.0,0.01,187000.0,0.54,187100.0,0.04,187200.0,0.48,187300.0,0.3,187400.0,0.63,187500.0,0.13,187600.0,0.04
000066.SZ,2020-08-03,09:30:46,185500.0,65400.0,12149358000.0,185500.0,1.0,185400.0,0.74,185300.0,0.11,185200.0,0.1,185100.0,0.25,185000.0,1.0,184900.0,0.12,184800.0,0.09,184700.0,0.0,184600.0,0.02,186000.0,0.17,186300.0,0.26,186400.0,0.06,186800.0,0.01,187000.0,0.54,187100.0,0.04,187200.0,0.48,187300.0,0.3,187400.0,0.63,187500.0,0.13
000066.SZ,2020-08-03,09:30:47,185500.0,0.0,0.0,185500.0,1.0,185400.0,0.74,185300.0,0.11,185200.0,0.1,185100.0,0.25,185000.0,1.0,184900.0,0.12,184800.0,0.09,184700.0,0.0,184600.0,0.02,185700.0,0.23,186000.0,0.25,186200.0,0.01,186300.0,0.26,186400.0,0.14,186500.0,0.01,186800.0,0.01,187000.0,0.54,187100.0,0.04,187200.0,0.48
000066.SZ,2020-08-03,09:30:48,185500.0,141800.0,26301205800.0,185400.0,0.06,185300.0,0.11,185200.0,0.1,185100.0,0.25,185000.0,1.0,184900.0,0.12,184800.0,0.09,184700.0,0.0,184600.0,0.02,184500.0,0.87,185500.0,1.0,186000.0,0.29,186200.0,0.01,186300.0,0.33,186400.0,0.14,186500.0,0.02,186800.0,0.01,187000.0,0.54,187100.0,0.04,187200.0,0.48
000066.SZ,2020-08-03,09:30:49,185500.0,0.0,0.0,185100.0,0.25,185000.0,1.0,184900.0,0.12,184800.0,0.09,184700.0,0.0,184600.0,0.02,184500.0,0.87,184400.0,0.0,184200.0,0.0,184100.0,0.0,185300.0,0.16,185500.0,1.0,186000.0,0.47,186200.0,0.01,186300.0,0.61,186400.0,0.14,186500.0,0.02,186800.0,0.01,187000.0,0.55,187100.0,0.04
000066.SZ,2020-08-03,09:30:50,185500.0,57400.0,10639836200.0,185000.0,1.0,184900.0,0.12,184800.0,0.09,184700.0,0.0,184600.0,0.02,184500.0,0.87,184400.0,0.0,184200.0,0.0,184100.0,0.0,184000.0,0.45,185500.0,1.0,186000.0,0.54,186200.0,0.01,186300.0,0.61,186400.0,0.15,186500.0,0.02,186800.0,0.01,187000.0,0.55,187100.0,0.04,187200.0,0.48
000066.SZ,2020-08-03,09:30:51,185500.0,0.0,0.0,185000.0,1.0,184900.0,0.12,184800.0,0.09,184700.0,0.0,184600.0,0.02,184500.0,0.87,184400.0,0.0,184200.0,0.0,184100.0,0.0,184000.0,0.45,185100.0,0.01,185400.0,0.19,185500.0,1.0,186000.0,0.56,186200.0,0.01,186300.0,0.61,186400.0,0.15,186500.0,0.02,186800.0,0.01,187000.0,0.61
000066.SZ,2020-08-03,09:30:52,185500.0,0.0,0.0,185000.0,1.0,184900.0,0.12,184800.0,0.09,184700.0,0.0,184600.0,0.02,184500.0,0.87,184400.0,0.0,184200.0,0.0,184100.0,0.0,184000.0,0.45,185100.0,0.02,185300.0,0.09,185400.0,0.19,185500.0,1.0,185600.0,0.52,186000.0,0.57,186200.0,0.01,186300.0,0.61,186400.0,0.15,186500.0,0.02
000066.SZ,2020-08-03,09:30:53,185500.0,71400.0,13216711200.0,185000.0,0.61,184900.0,0.12,184800.0,0.09,184700.0,0.0,184600.0,0.02,184500.0,0.87,184400.0,0.0,184200.0,0.0,184100.0,0.0,184000.0,0.45,185500.0,1.0,185600.0,0.52,186000.0,0.47,186200.0,0.01,186300.0,0.63,186400.0,0.15,186500.0,0.02,186800.0,0.04,187000.0,0.61,187100.0,0.04
000066.SZ,2020-08-03,09:30:54,185100.0,0.0,0.0,184800.0,0.09,184700.0,0.0,184600.0,0.02,184500.0,0.87,184400.0,0.0,184200.0,0.0,184100.0,0.0,184000.0,0.45,183900.0,0.01,183800.0,0.14,184900.0,1.0,185000.0,0.11,185300.0,0.14,185500.0,1.0,185600.0,0.52,186000.0,0.47,186200.0,0.01,186300.0,0.63,186400.0,0.15,186500.0,0.06
000066.SZ,2020-08-03,09:30:55,185100.0,0.0,0.0,184800.0,0.09,184700.0,0.0,184600.0,0.02,184500.0,0.87,184400.0,0.0,184200.0,0.0,184100.0,0.0,184000.0,0.45,183900.0,0.01,183800.0,0.14,184900.0,1.0,185000.0,0.3,185200.0,0.02,185300.0,0.14,185400.0,0.01,185500.0,1.0,185600.0,0.52,186000.0,0.47,186200.0,0.01,186300.0,0.63
000066.SZ,2020-08-03,09:30:56,185100.0,0.0,0.0,184800.0,0.09,184700.0,0.0,184600.0,0.02,184500.0,0.87,184400.0,0.0,184300.0,0.07,184200.0,0.07,184100.0,0.0,184000.0,0.45,183900.0,0.01,184900.0,1.0,185000.0,0.35,185100.0,0.0,185200.0,0.32,185300.0,0.23,185400.0,0.01,185500.0,1.0,185600.0,0.52,186000.0,0.47,186200.0,0.01
000066.SZ,2020-08-03,09:30:57,185100.0,0.0,0.0,184800.0,0.09,184700.0,0.0,184600.0,0.02,184500.0,0.87,184400.0,0.0,184300.0,0.07,184200.0,0.07,184100.0,0.0,184000.0,0.45,183900.0,0.01,184900.0,1.0,185000.0,0.36,185100.0,0.0,185200.0,0.32,185300.0,0.55,185400.0,0.02,185500.0,1.0,185600.0,0.52,185700.0,0.01,186000.0,0.47
000066.SZ,2020-08-03,09:30:58,185100.0,0.0,0.0,184800.0,0.1,184700.0,0.0,184600.0,0.02,184500.0,0.87,184400.0,0.0,184300.0,0.07,184200.0,0.07,184100.0,0.0,184000.0,0.45,183900.0,0.01,184900.0,1.0,185000.0,1.0,185100.0,0.0,185200.0,0.32,185300.0,0.94,185400.0,0.03,185500.0,1.0,185600.0,0.52,185700.0,0.01,186000.0,0.47
000066.SZ,2020-08-03,09:30:59,185100.0,281700.0,52075062000.0,184300.0,0.01,184000.0,0.45,183900.0,0.01,183800.0,0.14,183700.0,0.07,183600.0,0.21,183500.0,0.2,183300.0,0.04,183200.0,0.04,183100.0,0.1,184600.0,0.0,184800.0,0.1,184900.0,0.44,185000.0,1.0,185100.0,0.0,185200.0,0.39,185300.0,0.96,185400.0,0.03,185500.0,1.0,185600.0,0.52
000066.SZ,2020-08-03,09:31:00,184500.0,4500.0,829728000.0,184000.0,0.45,183900.0,0.01,183800.0,0.14,183700.0,0.07,183600.0,0.21,183500.0,0.2,183300.0,0.04,183200.0,0.04,183100.0,0.1,183000.0,1.0,184300.0,0.03,184400.0,0.04,184600.0,0.0,184800.0,0.23,184900.0,0.45,185000.0,1.0,185100.0,0.0,185200.0,0.39,185300.0,1.0,185400.0,0.03
000066.SZ,2020-08-03,09:31:01,184300.0,29500.0,5447381500.0,184400.0,0.07,184000.0,0.45,183900.0,0.01,183800.0,0.14,183700.0,0.07,183600.0,0.21,183500.0,0.2,183300.0,0.04,183200.0,0.04,183100.0,0.1,184800.0,0.21,184900.0,0.45,185000.0,1.0,185100.0,0.0,185200.0,0.39,185300.0,1.0,185400.0,0.03,185500.0,1.0,185600.0,0.52,185700.0,0.01
000066.SZ,2020-08-03,09:31:02,184800.0,37000.0,6814660000.0,184600.0,0.05,184000.0,0.15,183900.0,0.01,183800.0,0.14,183700.0,0.07,183600.0,0.21,183500.0,0.2,183300.0,0.04,183200.0,0.04,183100.0,0.1,184700.0,0.05,184800.0,0.42,184900.0,0.45,185000.0,1.0,185100.0,0.0,185200.0,0.32,185300.0,0.97,185400.0,0.03,185500.0,1.0,185600.0,0.52
000066.SZ,2020-08-03,09:31:03,184600.0,12100.0,2232558900.0,184300.0,0.29,184100.0,0.05,184000.0,0.16,183900.0,0.01,183800.0,0.14,183700.0,0.07,183600.0,0.21,183500.0,0.2,183300.0,0.04,183200.0,0.04,184700.0,0.03,184800.0,0.41,184900.0,0.45,185000.0,1.0,185100.0,0.0,185200.0,0.3,185300.0,0.94,185400.0,0.03,185500.0,1.0,185600.0,0.52
000066.SZ,2020-08-03,09:31:04,184700.0,21400.0,3943977200.0,184100.0,0.88,184000.0,0.18,183900.0,0.01,183800.0,0.14,183700.0,0.07,183600.0,0.21,183500.0,0.2,183300.0,0.04,183200.0,0.04,183100.0,0.1,184200.0,0.08,184300.0,0.01,184700.0,0.03,184800.0,0.42,184900.0,0.54,185000.0,1.0,185100.0,0.0,185200.0,0.3,185300.0,1.0,185400.0,0.03
000066.SZ,2020-08-03,09:31:05,184200.0,30700.0,5657211800.0,184600.0,0.29,184300.0,0.02,184200.0,0.04,184100.0,0.72,184000.0,0.22,183900.0,0.01,183800.0,0.14,183700.0,0.07,183600.0,0.21,183500.0,0.2,184700.0,0.09,184800.0,0.4,184900.0,0.54,185000.0,1.0,185100.0,0.0,185200.0,0.3,185300.0,1.0,185400.0,0.03,185500.0,0.44,185600.0,0.52
000066.SZ,2020-08-03,09:31:06,184600.0,24900.0,4597461300.0,184200.0,0.11,184100.0,0.81,184000.0,0.22,183900.0,0.01,183800.0,0.14,183700.0,0.07,183600.0,0.21,183500.0,0.2,183300.0,0.04,183200.0,0.04,184800.0,0.4,184900.0,0.54,185000.0,1.0,185100.0,0.01,185200.0,0.14,185300.0,0.89,185400.0,0.03,185500.0,0.44,185600.0,0.52,185700.0,0.01
000066.SZ,2020-08-03,09:31:07,184400.0,30500.0,5619899500.0,184100.0,1.0,184000.0,0.36,183900.0,0.01,183800.0,0.14,183700.0,0.07,183600.0,0.21,183500.0,0.2,183300.0,0.04,183200.0,0.04,183100.0,0.1,184200.0,0.08,184300.0,0.07,184600.0,0.69,184700.0,0.22,184800.0,0.4,184900.0,0.54,185000.0,1.0,185100.0,0.01,185200.0,0.14,185300.0,0.88
000066.SZ,2020-08-03,09:31:08,184300.0,23600.0,4346836800.0,184100.0,1.0,184000.0,0.36,183900.0,0.01,183800.0,0.14,183700.0,0.07,183600.0,0.21,183500.0,0.2,183300.0,0.04,183200.0,0.04,183100.0,0.13,184200.0,0.07,184300.0,0.15,184600.0,0.69,184700.0,0.22,184800.0,0.4,184900.0,0.54,185000.0,1.0,185100.0,0.01,185200.0,0.14,185300.0,0.87
000066.SZ,2020-08-03,09:31:09,184200.0,49800.0,9174554400.0,184400.0,0.02,184300.0,0.03,184100.0,1.0,184000.0,0.37,183900.0,0.01,183800.0,0.14,183700.0,0.07,183600.0,0.21,183500.0,0.2,183300.0,0.04,184600.0,0.61,184700.0,0.22,184800.0,0.4,184900.0,0.2,185000.0,1.0,185100.0,0.01,185200.0,0.14,185300.0,0.87,185400.0,0.01,185500.0,0.4
000066.SZ,2020-08-03,09:31:10,184400.0,22700.0,4184200200.0,184300.0,0.2,184200.0,0.89,184100.0,1.0,184000.0,0.37,183900.0,0.01,183800.0,0.14,183700.0,0.07,183600.0,0.21,183500.0,0.2,183300.0,0.04,184500.0,0.02,184600.0,0.61,184700.0,0.11,184800.0,0.4,184900.0,0.2,185000.0,1.0,185100.0,0.01,185200.0,0.14,185300.0,0.87,185400.0,0.01
000066.SZ,2020-08-03,09:31:11,184300.0,22000.0,4057020000.0,184300.0,0.02,184200.0,1.0,184100.0,1.0,184000.0,0.37,183900.0,0.01,183800.0,0.14,183700.0,0.07,183600.0,0.21,183500.0,0.2,183300.0,0.04,184600.0,0.51,184700.0,0.11,184800.0,0.4,184900.0,0.2,185000.0,1.0,185100.0,0.01,185200.0,0.14,185300.0,0.87,185400.0,0.01,185500.0,0.38
000066.SZ,2020-08-03,09:31:12,184300.0,36800.0,6782092800.0,184200.0,0.74,184100.0,1.0,184000.0,0.37,183900.0,0.01,183800.0,0.14,183700.0,0.07,183600.0,0.21,183500.0,0.2,183300.0,0.04,183200.0,0.04,184300.0,0.02,184400.0,0.02,184600.0,0.42,184700.0,0.11,184800.0,0.39,184900.0,0.2,185000.0,1.0,185100.0,0.01,185200.0,0.14,185300.0,0.87
000066.SZ,2020-08-03,09:31:13,184300.0,66400.0,12249339200.0,184600.0,0.22,184500.0,0.02,184300.0,0.01,184200.0,0.63,184100.0,1.0,184000.0,0.55,183900.0,0.01,183800.0,0.14,183700.0,0.07,183600.0,0.21,184700.0,0.07,184800.0,0.39,184900.0,0.2,185000.0,1.0,185100.0,0.01,185200.0,0.14,185300.0,0.86,185400.0,0.01,185500.0,0.34,185600.0,0.52
000066.SZ,2020-08-03,09:31:14,184600.0,21500.0,3968685000.0,184200.0,0.63,184100.0,1.0,184000.0,0.55,183900.0,0.01,183800.0,0.14,183700.0,0.07,183600.0,0.21,183500.0,0.2,183300.0,0.04,183200.0,0.04,184400.0,0.01,184700.0,0.08,184800.0,0.39,184900.0,0.19,185000.0,1.0,185100.0,0.01,185200.0,0.15,185300.0,0.86,185400.0,0.01,185500.0,0.34
