StockCode,DataDate,UpdateTime,LastPrice,Volume,turnover,BidPrice1,BidVolume1,BidPrice2,BidVolume2,BidPrice3,BidVolume3,BidPrice4,BidVolume4,BidPrice5,BidVolume5,BidPrice6,BidVolume6,BidPrice7,BidVolume7,BidPrice8,BidVolume8,BidPrice9,BidVolume9,BidPrice10,BidVolume10,AskPrice1,AskVolume1,AskPrice2,AskVolume2,AskPrice3,AskVolume3,AskPrice4,AskVolume4,AskPrice5,AskVolume5,AskPrice6,AskVolume6,AskPrice7,AskVolume7,AskPrice8,AskVolume8,AskPrice9,AskVolume9,AskPrice10,AskVolume10
000066.SZ,2020-08-10,09:54:22,215900.0,22100.0,4771235300.0,215700.0,1.0,215600.0,1.0,215500.0,1.0,215400.0,1.0,215300.0,1.0,215200.0,1.0,215100.0,1.0,215000.0,1.0,214900.0,1.0,214800.0,1.0,215800.0,0.0,215900.0,1.0,216000.0,1.0,216100.0,1.0,216200.0,1.0,216300.0,1.0,216400.0,1.0,216500.0,1.0,216600.0,1.0,216700.0,1.0
000066.SZ,2020-08-10,09:54:23,215900.0,2800.0,603960000.0,215700.0,1.0,215600.0,1.0,215500.0,1.0,215400.0,1.0,215300.0,1.0,215200.0,1.0,215100.0,1.0,215000.0,1.0,214900.0,1.0,214800.0,1.0,215800.0,0.0,215900.0,1.0,216000.0,1.0,216100.0,1.0,216200.0,1.0,216300.0,1.0,216400.0,1.0,216500.0,1.0,216600.0,1.0,216700.0,1.0
000066.SZ,2020-08-10,09:54:24,215700.0,9100.0,1962870000.0,215700.0,1.0,215600.0,1.0,215500.0,1.0,215400.0,1.0,215300.0,1.0,215200.0,1.0,215100.0,1.0,215000.0,1.0,214900.0,1.0,214800.0,1.0,215800.0,0.0,215900.0,1.0,216000.0,1.0,216100.0,1.0,216200.0,1.0,216300.0,1.0,216400.0,1.0,216500.0,1.0,216600.0,1.0,216700.0,1.0
000066.SZ,2020-08-10,09:54:25,215700.0,25700.0,5545854400.0,215600.0,1.0,215500.0,1.0,215400.0,1.0,215300.0,1.0,215200.0,1.0,215100.0,1.0,215000.0,1.0,214900.0,1.0,214800.0,1.0,214700.0,1.0,215700.0,0.03,215900.0,1.0,216000.0,1.0,216100.0,1.0,216200.0,1.0,216300.0,1.0,216400.0,1.0,216500.0,1.0,216600.0,1.0,216700.0,1.0
000066.SZ,2020-08-10,09:54:26,215900.0,10100.0,2179893100.0,215600.0,1.0,215500.0,1.0,215400.0,1.0,215300.0,1.0,215200.0,1.0,215100.0,1.0,215000.0,1.0,214900.0,1.0,214800.0,1.0,214700.0,1.0,215700.0,0.03,215900.0,1.0,216000.0,1.0,216100.0,1.0,216200.0,1.0,216300.0,1.0,216400.0,1.0,216500.0,1.0,216600.0,1.0,216700.0,1.0
000066.SZ,2020-08-10,09:54:27,215700.0,9800.0,2115094800.0,215600.0,1.0,215500.0,1.0,215400.0,1.0,215300.0,1.0,215200.0,1.0,215100.0,1.0,215000.0,1.0,214900.0,1.0,214800.0,1.0,214700.0,1.0,215700.0,0.02,215900.0,1.0,216000.0,1.0,216100.0,1.0,216200.0,1.0,216300.0,1.0,216400.0,1.0,216500.0,1.0,216600.0,1.0,216700.0,1.0
000066.SZ,2020-08-10,09:54:28,215700.0,4100.0,884316700.0,215600.0,1.0,215500.0,1.0,215400.0,1.0,215300.0,1.0,215200.0,1.0,215100.0,1.0,215000.0,1.0,214900.0,1.0,214800.0,1.0,214700.0,1.0,215700.0,0.35,215800.0,0.0,215900.0,1.0,216000.0,1.0,216100.0,1.0,216200.0,1.0,216300.0,1.0,216400.0,1.0,216500.0,1.0,216600.0,1.0
000066.SZ,2020-08-10,09:54:29,215600.0,2800.0,603960000.0,215600.0,1.0,215500.0,1.0,215400.0,1.0,215300.0,1.0,215200.0,1.0,215100.0,1.0,215000.0,1.0,214900.0,1.0,214800.0,1.0,214700.0,1.0,215700.0,0.35,215800.0,0.0,215900.0,1.0,216000.0,1.0,216100.0,1.0,216200.0,1.0,216300.0,1.0,216400.0,1.0,216500.0,1.0,216600.0,1.0
000066.SZ,2020-08-10,09:54:30,215700.0,7500.0,1617720000.0,215600.0,1.0,215500.0,1.0,215400.0,1.0,215300.0,1.0,215200.0,1.0,215100.0,1.0,215000.0,1.0,214900.0,1.0,214800.0,1.0,214700.0,1.0,215700.0,0.28,215800.0,0.02,215900.0,1.0,216000.0,1.0,216100.0,1.0,216200.0,1.0,216300.0,1.0,216400.0,1.0,216500.0,1.0,216600.0,1.0
000066.SZ,2020-08-10,09:54:31,215700.0,100.0,21570000.0,215600.0,1.0,215500.0,1.0,215400.0,1.0,215300.0,1.0,215200.0,1.0,215100.0,1.0,215000.0,1.0,214900.0,1.0,214800.0,1.0,214700.0,1.0,215700.0,0.29,215800.0,0.02,215900.0,1.0,216000.0,1.0,216100.0,1.0,216200.0,1.0,216300.0,1.0,216400.0,1.0,216500.0,1.0,216600.0,1.0
