StockCode,DataDate,UpdateTime,LastPrice,Volume,turnover,BidPrice1,BidVolume1,BidPrice2,BidVolume2,BidPrice3,BidVolume3,BidPrice4,BidVolume4,BidPrice5,BidVolume5,BidPrice6,BidVolume6,BidPrice7,BidVolume7,BidPrice8,BidVolume8,BidPrice9,BidVolume9,BidPrice10,BidVolume10,AskPrice1,AskVolume1,AskPrice2,AskVolume2,AskPrice3,AskVolume3,AskPrice4,AskVolume4,AskPrice5,AskVolume5,AskPrice6,AskVolume6,AskPrice7,AskVolume7,AskPrice8,AskVolume8,AskPrice9,AskVolume9,AskPrice10,AskVolume10
000629.SZ,2020-08-11,09:30:01,23100.0,129200.0,2971600000.0,23000.0,0.91,22900.0,0.52,22800.0,1.0,22700.0,1,22600.0,1.0,22500.0,1.0,22400.0,0.21,22200.0,0.14,21300.0,0.01,21000.0,0.01,23100.0,1.0,23200.0,0.91,23300.0,0.5,23400.0,0.89,23500.0,0.12,23600.0,0.27,23700.0,0.18,23800.0,0.12,23900.0,0.19,24000.0,0.08
000629.SZ,2020-08-11,09:30:02,23100.0,150200.0,3455050600.0,23000.0,1.0,22900.0,0.61,22800.0,1.0,22700.0,1,22600.0,1.0,22500.0,1.0,22400.0,0.22,22200.0,0.17,21300.0,0.01,21000.0,0.01,23100.0,1.0,23200.0,1.0,23300.0,1.0,23400.0,1.0,23500.0,0.47,23600.0,1.0,23700.0,0.53,23800.0,0.27,23900.0,0.2,24000.0,0.12
000629.SZ,2020-08-11,09:30:03,23000.0,20100.0,464289900.0,23000.0,1.0,22900.0,0.67,22800.0,1.0,22700.0,1,22600.0,1.0,22500.0,1.0,22400.0,0.22,22200.0,0.17,21300.0,0.01,21000.0,0.01,23100.0,1.0,23200.0,1.0,23300.0,1.0,23400.0,1.0,23500.0,0.53,23600.0,1.0,23700.0,1.0,23800.0,0.64,23900.0,0.3,24000.0,1.0
000629.SZ,2020-08-11,09:30:04,23100.0,111000.0,2563323000.0,23000.0,1.0,22900.0,0.86,22800.0,1.0,22700.0,1,22600.0,1.0,22500.0,1.0,22400.0,0.22,22200.0,0.17,22000.0,0.6,21800.0,0.04,23100.0,1.0,23200.0,1.0,23300.0,1.0,23400.0,1.0,23500.0,1.0,23600.0,1.0,23700.0,1.0,23800.0,1.0,23900.0,0.65,24000.0,1.0
000629.SZ,2020-08-11,09:30:05,23100.0,43200.0,996580800.0,23000.0,1.0,22900.0,0.99,22800.0,1.0,22700.0,1,22600.0,1.0,22500.0,1.0,22400.0,0.22,22200.0,0.17,22000.0,0.6,21800.0,0.04,23100.0,1.0,23200.0,1.0,23300.0,1.0,23400.0,1.0,23500.0,1.0,23600.0,1.0,23700.0,1.0,23800.0,1.0,23900.0,1.0,24000.0,1.0
000629.SZ,2020-08-11,09:30:06,23000.0,95800.0,2205124400.0,23000.0,1.0,22900.0,1.0,22800.0,1.0,22700.0,1,22600.0,1.0,22500.0,1.0,22400.0,0.22,22200.0,0.2,22000.0,0.6,21800.0,0.04,23100.0,1.0,23200.0,1.0,23300.0,1.0,23400.0,1.0,23500.0,1.0,23600.0,1.0,23700.0,1.0,23800.0,1.0,23900.0,1.0,24000.0,1.0
000629.SZ,2020-08-11,09:30:07,23100.0,19400.0,447189400.0,23000.0,1.0,22900.0,1.0,22800.0,1.0,22700.0,1,22600.0,1.0,22500.0,1.0,22400.0,0.22,22300.0,0.1,22200.0,0.2,22000.0,0.6,23100.0,1.0,23200.0,1.0,23300.0,1.0,23400.0,1.0,23500.0,1.0,23600.0,1.0,23700.0,1.0,23800.0,1.0,23900.0,1.0,24000.0,1.0
000629.SZ,2020-08-11,09:30:08,23000.0,1200.0,27600000.0,23000.0,1.0,22900.0,1.0,22800.0,1.0,22700.0,1,22600.0,1.0,22500.0,1.0,22400.0,0.27,22300.0,0.15,22200.0,0.2,22000.0,0.6,23100.0,1.0,23200.0,1.0,23300.0,1.0,23400.0,1.0,23500.0,1.0,23600.0,1.0,23700.0,1.0,23800.0,1.0,23900.0,1.0,24000.0,1.0
000629.SZ,2020-08-11,09:30:09,23000.0,40200.0,928579800.0,23000.0,1.0,22900.0,1.0,22800.0,1.0,22700.0,1,22600.0,1.0,22500.0,1.0,22400.0,0.32,22300.0,0.15,22200.0,0.2,22000.0,0.6,23100.0,1.0,23200.0,1.0,23300.0,1.0,23400.0,1.0,23500.0,1.0,23600.0,1.0,23700.0,1.0,23800.0,1.0,23900.0,1.0,24000.0,1.0
000629.SZ,2020-08-11,09:30:10,23000.0,30100.0,695009000.0,23000.0,1.0,22900.0,1.0,22800.0,1.0,22700.0,1,22600.0,1.0,22500.0,1.0,22400.0,0.83,22300.0,0.15,22200.0,0.2,22000.0,0.6,23100.0,1.0,23200.0,1.0,23300.0,1.0,23400.0,1.0,23500.0,1.0,23600.0,1.0,23700.0,1.0,23800.0,1.0,23900.0,1.0,24000.0,1.0
