StockCode,DataDate,UpdateTime,LastPrice,Volume,turnover,BidPrice1,BidVolume1,BidPrice2,BidVolume2,BidPrice3,BidVolume3,BidPrice4,BidVolume4,BidPrice5,BidVolume5,BidPrice6,BidVolume6,BidPrice7,BidVolume7,BidPrice8,BidVolume8,BidPrice9,BidVolume9,BidPrice10,BidVolume10,AskPrice1,AskVolume1,AskPrice2,AskVolume2,AskPrice3,AskVolume3,AskPrice4,AskVolume4,AskPrice5,AskVolume5,AskPrice6,AskVolume6,AskPrice7,AskVolume7,AskPrice8,AskVolume8,AskPrice9,AskVolume9,AskPrice10,AskVolume10
000629.SZ,2020-08-12,09:30:01,22100.0,71500.0,1582867000.0,22100.0,1.0,22000.0,1.0,21900.0,1.0,21800.0,1,21700.0,1.0,21600.0,0.39,21500.0,1.0,21400.0,0.64,21300.0,0.02,21200.0,0.71,22200.0,1.0,22300.0,1.0,22400.0,1.0,22500.0,1.0,22600.0,1.0,22700.0,1.0,22800.0,1.0,22900.0,1.0,23000.0,1.0,23100.0,1.0
000629.SZ,2020-08-12,09:30:02,22200.0,2000.0,44400000.0,22100.0,1.0,22000.0,1.0,21900.0,1.0,21800.0,1,21700.0,1.0,21600.0,0.79,21500.0,1.0,21400.0,0.71,21300.0,0.04,21200.0,0.71,22200.0,1.0,22300.0,1.0,22400.0,1.0,22500.0,1.0,22600.0,1.0,22700.0,1.0,22800.0,1.0,22900.0,1.0,23000.0,1.0,23100.0,1.0
000629.SZ,2020-08-12,09:30:03,22200.0,219600.0,4871606400.0,22100.0,1.0,22000.0,1.0,21900.0,1.0,21800.0,1,21700.0,1.0,21600.0,1.0,21500.0,1.0,21400.0,0.72,21300.0,0.31,21200.0,0.97,22200.0,1.0,22300.0,1.0,22400.0,1.0,22500.0,1.0,22600.0,1.0,22700.0,1.0,22800.0,1.0,22900.0,1.0,23000.0,1.0,23100.0,1.0
000629.SZ,2020-08-12,09:30:04,22200.0,178900.0,3969969900.0,22100.0,1.0,22000.0,1.0,21900.0,1.0,21800.0,1,21700.0,1.0,21600.0,1.0,21500.0,1.0,21400.0,0.72,21300.0,0.34,21200.0,0.97,22200.0,1.0,22300.0,1.0,22400.0,1.0,22500.0,1.0,22600.0,1.0,22700.0,1.0,22800.0,1.0,22900.0,1.0,23000.0,1.0,23100.0,1.0
000629.SZ,2020-08-12,09:30:05,22200.0,17100.0,378525600.0,22100.0,1.0,22000.0,1.0,21900.0,1.0,21800.0,1,21700.0,1.0,21600.0,1.0,21500.0,1.0,21400.0,0.72,21300.0,0.46,21200.0,1.0,22200.0,1.0,22300.0,1.0,22400.0,1.0,22500.0,1.0,22600.0,1.0,22700.0,1.0,22800.0,1.0,22900.0,1.0,23000.0,1.0,23100.0,1.0
000629.SZ,2020-08-12,09:30:06,22200.0,8900.0,197580000.0,22100.0,1.0,22000.0,1.0,21900.0,1.0,21800.0,1,21700.0,1.0,21600.0,1.0,21500.0,1.0,21400.0,0.72,21300.0,0.46,21200.0,1.0,22200.0,1.0,22300.0,1.0,22400.0,1.0,22500.0,1.0,22600.0,1.0,22700.0,1.0,22800.0,1.0,22900.0,1.0,23000.0,1.0,23100.0,1.0
000629.SZ,2020-08-12,09:30:07,22200.0,35600.0,787792400.0,22100.0,1.0,22000.0,1.0,21900.0,1.0,21800.0,1,21700.0,1.0,21600.0,1.0,21500.0,1.0,21400.0,0.72,21300.0,0.46,21200.0,1.0,22200.0,1.0,22300.0,1.0,22400.0,1.0,22500.0,1.0,22600.0,1.0,22700.0,1.0,22800.0,1.0,22900.0,1.0,23000.0,1.0,23100.0,1.0
000629.SZ,2020-08-12,09:30:08,22200.0,23700.0,524172900.0,22100.0,1.0,22000.0,1.0,21900.0,1.0,21800.0,1,21700.0,1.0,21600.0,1.0,21500.0,1.0,21400.0,0.72,21300.0,0.46,21200.0,1.0,22200.0,1.0,22300.0,1.0,22400.0,1.0,22500.0,1.0,22600.0,1.0,22700.0,1.0,22800.0,1.0,22900.0,1.0,23000.0,1.0,23100.0,1.0
000629.SZ,2020-08-12,09:30:09,22100.0,117700.0,2612940000.0,22100.0,1.0,22000.0,1.0,21900.0,1.0,21800.0,1,21700.0,1.0,21600.0,1.0,21500.0,1.0,21400.0,0.72,21300.0,0.46,21200.0,1.0,22200.0,1.0,22300.0,1.0,22400.0,1.0,22500.0,1.0,22600.0,1.0,22700.0,1.0,22800.0,1.0,22900.0,1.0,23000.0,1.0,23100.0,1.0
000629.SZ,2020-08-12,09:30:10,22200.0,13900.0,307551400.0,22100.0,1.0,22000.0,1.0,21900.0,1.0,21800.0,1,21700.0,1.0,21600.0,1.0,21500.0,1.0,21400.0,0.72,21300.0,0.46,21200.0,1.0,22200.0,1.0,22300.0,1.0,22400.0,1.0,22500.0,1.0,22600.0,1.0,22700.0,1.0,22800.0,1.0,22900.0,1.0,23000.0,1.0,23100.0,1.0
